email,password_hash,role,full_name,gender
sreynang.suon20@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Suon Sreynang,female
sreynang.heng21@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Heng Sreynang,male
sreynang.lay22@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lay Sreynang,female
sreynang.kim23@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Kim Sreynang,male
sreynang.ros24@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ros Sreynang,female
sreynang.meas25@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Meas Sreynang,male
sreynang.chhay26@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chhay Sreynang,female
sreynang.sok27@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Sok Sreynang,male
sreynang.pen28@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Pen Sreynang,female
piseth.chan29@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chan Piseth,male
piseth.lim30@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lim Piseth,female
piseth.ouk31@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ouk Piseth,male
piseth.touch32@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Touch Piseth,female
piseth.phan33@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Phan Piseth,male
piseth.suon34@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Suon Piseth,female
piseth.heng35@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Heng Piseth,male
piseth.lay36@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lay Piseth,female
piseth.kim37@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Kim Piseth,male
piseth.ros38@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ros Piseth,female
piseth.meas39@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Meas Piseth,male
piseth.chhay40@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chhay Piseth,female
piseth.sok41@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Sok Piseth,male
piseth.pen42@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Pen Piseth,female
bopha.chan43@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chan Bopha,male
bopha.lim44@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lim Bopha,female
bopha.ouk45@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ouk Bopha,male
bopha.touch46@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Touch Bopha,female
bopha.phan47@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Phan Bopha,male
bopha.suon48@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Suon Bopha,female
bopha.heng49@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Heng Bopha,male
bopha.lay50@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Lay Bopha,female
bopha.kim51@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Kim Bopha,male
bopha.ros52@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Ros Bopha,female
bopha.meas53@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Meas Bopha,male
bopha.chhay54@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Chhay Bopha,female
bopha.sok55@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Sok Bopha,male
bopha.pen56@school.local,$2a$10$v04ngmx4sz6PZ.F/hKr3gudZnQaspzu4qE4mbQZWrvH3plrMqgGJC,teacher,Pen Bopha,female
