"student_code","full_name","class_name","gender","dob","email","login_password","current_address"
"CMS100062","Malis Monineath","7B","female","2013-02-06","malis.monineath.7b@school.edu","monineath06022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100063","Rattanak Monineath","7C","male","2013-03-07","rattanak.monineath.7c@school.edu","monineath07032013","Village 07 7C Tuek Thla Takeo"
"CMS100064","Sothea Monineath","7D","female","2013-04-08","sothea.monineath.7d@school.edu","monineath08042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100065","Sok Vannak","7E","male","2013-05-09","sok.vannak.7e@school.edu","vannak09052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100066","Chan Vannak","7F","female","2013-06-10","chan.vannak.7f@school.edu","vannak10062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100067","Lim Vannak","7A","male","2013-07-11","lim.vannak.7a@school.edu","vannak11072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100068","Keo Vannak","7B","female","2013-08-12","keo.vannak.7b@school.edu","vannak12082013","Village 04 7B Preaek Pra Kampot"
"CMS100069","Phan Vannak","7C","male","2013-09-13","phan.vannak.7c@school.edu","vannak13092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100070","Meas Vannak","7D","female","2013-10-14","meas.vannak.7d@school.edu","vannak14102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100071","Ouk Vannak","7E","male","2013-11-15","ouk.vannak.7e@school.edu","vannak15112013","Village 07 7E Tuek Thla Takeo"
"CMS100072","Chhim Vannak","7F","female","2013-12-16","chhim.vannak.7f@school.edu","vannak16122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100073","Yin Vannak","7A","male","2013-01-17","yin.vannak.7a@school.edu","vannak17012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100074","Touch Vannak","7B","female","2013-02-18","touch.vannak.7b@school.edu","vannak18022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100075","Ngov Vannak","7C","male","2013-03-19","ngov.vannak.7c@school.edu","vannak19032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100076","Suon Vannak","7D","female","2013-04-20","suon.vannak.7d@school.edu","vannak20042013","Village 04 7D Preaek Pra Kampot"
"CMS100077","Prak Vannak","7E","male","2013-05-21","prak.vannak.7e@school.edu","vannak21052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100078","Kim Vannak","7F","female","2013-06-22","kim.vannak.7f@school.edu","vannak22062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100079","Chhay Vannak","7A","male","2013-07-23","chhay.vannak.7a@school.edu","vannak23072013","Village 07 7A Tuek Thla Takeo"
"CMS100080","Nou Vannak","7B","female","2013-08-24","nou.vannak.7b@school.edu","vannak24082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100081","Heng Vannak","7C","male","2013-09-25","heng.vannak.7c@school.edu","vannak25092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100082","Pen Vannak","7D","female","2013-10-26","pen.vannak.7d@school.edu","vannak26102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100083","Sam Vannak","7E","male","2013-11-27","sam.vannak.7e@school.edu","vannak27112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100084","Korng Vannak","7F","female","2013-12-28","korng.vannak.7f@school.edu","vannak28122013","Village 04 7F Preaek Pra Kampot"
"CMS100085","Ros Vannak","7A","male","2013-01-01","ros.vannak.7a@school.edu","vannak01012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100086","Chin Vannak","7B","female","2013-02-02","chin.vannak.7b@school.edu","vannak02022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100087","Mao Vannak","7C","male","2013-03-03","mao.vannak.7c@school.edu","vannak03032013","Village 07 7C Tuek Thla Takeo"
"CMS100088","Lay Vannak","7D","female","2013-04-04","lay.vannak.7d@school.edu","vannak04042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100089","Vannak Vannak","7E","male","2013-05-05","vannak.vannak.7e@school.edu","vannak05052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100090","Sreypov Vannak","7F","female","2013-06-06","sreypov.vannak.7f@school.edu","vannak06062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100091","Rith Vannak","7A","male","2013-07-07","rith.vannak.7a@school.edu","vannak07072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100092","Borey Vannak","7B","female","2013-08-08","borey.vannak.7b@school.edu","vannak08082013","Village 04 7B Preaek Pra Kampot"
"CMS100093","Visal Vannak","7C","male","2013-09-09","visal.vannak.7c@school.edu","vannak09092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100094","Malis Vannak","7D","female","2013-10-10","malis.vannak.7d@school.edu","vannak10102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100095","Rattanak Vannak","7E","male","2013-11-11","rattanak.vannak.7e@school.edu","vannak11112013","Village 07 7E Tuek Thla Takeo"
"CMS100096","Sothea Vannak","7F","female","2013-12-12","sothea.vannak.7f@school.edu","vannak12122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100097","Sok Sreypich","7A","male","2013-01-13","sok.sreypich.7a@school.edu","sreypich13012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100098","Chan Sreypich","7B","female","2013-02-14","chan.sreypich.7b@school.edu","sreypich14022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100099","Lim Sreypich","7C","male","2013-03-15","lim.sreypich.7c@school.edu","sreypich15032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100100","Keo Sreypich","7D","female","2013-04-16","keo.sreypich.7d@school.edu","sreypich16042013","Village 04 7D Preaek Pra Kampot"
"CMS100101","Phan Sreypich","7E","male","2013-05-17","phan.sreypich.7e@school.edu","sreypich17052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100102","Meas Sreypich","7F","female","2013-06-18","meas.sreypich.7f@school.edu","sreypich18062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100103","Ouk Sreypich","7A","male","2013-07-19","ouk.sreypich.7a@school.edu","sreypich19072013","Village 07 7A Tuek Thla Takeo"
"CMS100104","Chhim Sreypich","7B","female","2013-08-20","chhim.sreypich.7b@school.edu","sreypich20082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100105","Yin Sreypich","7C","male","2013-09-21","yin.sreypich.7c@school.edu","sreypich21092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100106","Touch Sreypich","7D","female","2013-10-22","touch.sreypich.7d@school.edu","sreypich22102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100107","Ngov Sreypich","7E","male","2013-11-23","ngov.sreypich.7e@school.edu","sreypich23112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100108","Suon Sreypich","7F","female","2013-12-24","suon.sreypich.7f@school.edu","sreypich24122013","Village 04 7F Preaek Pra Kampot"
"CMS100109","Prak Sreypich","7A","male","2013-01-25","prak.sreypich.7a@school.edu","sreypich25012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100110","Kim Sreypich","7B","female","2013-02-26","kim.sreypich.7b@school.edu","sreypich26022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100111","Chhay Sreypich","7C","male","2013-03-27","chhay.sreypich.7c@school.edu","sreypich27032013","Village 07 7C Tuek Thla Takeo"
"CMS100112","Nou Sreypich","7D","female","2013-04-28","nou.sreypich.7d@school.edu","sreypich28042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100113","Heng Sreypich","7E","male","2013-05-01","heng.sreypich.7e@school.edu","sreypich01052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100114","Pen Sreypich","7F","female","2013-06-02","pen.sreypich.7f@school.edu","sreypich02062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100115","Sam Sreypich","7A","male","2013-07-03","sam.sreypich.7a@school.edu","sreypich03072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100116","Korng Sreypich","7B","female","2013-08-04","korng.sreypich.7b@school.edu","sreypich04082013","Village 04 7B Preaek Pra Kampot"
"CMS100117","Ros Sreypich","7C","male","2013-09-05","ros.sreypich.7c@school.edu","sreypich05092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100118","Chin Sreypich","7D","female","2013-10-06","chin.sreypich.7d@school.edu","sreypich06102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100119","Mao Sreypich","7E","male","2013-11-07","mao.sreypich.7e@school.edu","sreypich07112013","Village 07 7E Tuek Thla Takeo"
"CMS100120","Lay Sreypich","7F","female","2013-12-08","lay.sreypich.7f@school.edu","sreypich08122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100121","Vannak Sreypich","7A","male","2013-01-09","vannak.sreypich.7a@school.edu","sreypich09012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100122","Sreypov Sreypich","7B","female","2013-02-10","sreypov.sreypich.7b@school.edu","sreypich10022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100123","Rith Sreypich","7C","male","2013-03-11","rith.sreypich.7c@school.edu","sreypich11032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100124","Borey Sreypich","7D","female","2013-04-12","borey.sreypich.7d@school.edu","sreypich12042013","Village 04 7D Preaek Pra Kampot"
"CMS100125","Visal Sreypich","7E","male","2013-05-13","visal.sreypich.7e@school.edu","sreypich13052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100126","Malis Sreypich","7F","female","2013-06-14","malis.sreypich.7f@school.edu","sreypich14062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100127","Rattanak Sreypich","7A","male","2013-07-15","rattanak.sreypich.7a@school.edu","sreypich15072013","Village 07 7A Tuek Thla Takeo"
"CMS100128","Sothea Sreypich","7B","female","2013-08-16","sothea.sreypich.7b@school.edu","sreypich16082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100129","Sok Rithy","7C","male","2013-09-17","sok.rithy.7c@school.edu","rithy17092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100130","Chan Rithy","7D","female","2013-10-18","chan.rithy.7d@school.edu","rithy18102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100131","Lim Rithy","7E","male","2013-11-19","lim.rithy.7e@school.edu","rithy19112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100132","Keo Rithy","7F","female","2013-12-20","keo.rithy.7f@school.edu","rithy20122013","Village 04 7F Preaek Pra Kampot"
"CMS100133","Phan Rithy","7A","male","2013-01-21","phan.rithy.7a@school.edu","rithy21012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100134","Meas Rithy","7B","female","2013-02-22","meas.rithy.7b@school.edu","rithy22022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100135","Ouk Rithy","7C","male","2013-03-23","ouk.rithy.7c@school.edu","rithy23032013","Village 07 7C Tuek Thla Takeo"
"CMS100136","Chhim Rithy","7D","female","2013-04-24","chhim.rithy.7d@school.edu","rithy24042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100137","Yin Rithy","7E","male","2013-05-25","yin.rithy.7e@school.edu","rithy25052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100138","Touch Rithy","7F","female","2013-06-26","touch.rithy.7f@school.edu","rithy26062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100139","Ngov Rithy","7A","male","2013-07-27","ngov.rithy.7a@school.edu","rithy27072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100140","Suon Rithy","7B","female","2013-08-28","suon.rithy.7b@school.edu","rithy28082013","Village 04 7B Preaek Pra Kampot"
"CMS100141","Prak Rithy","7C","male","2013-09-01","prak.rithy.7c@school.edu","rithy01092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100142","Kim Rithy","7D","female","2013-10-02","kim.rithy.7d@school.edu","rithy02102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100143","Chhay Rithy","7E","male","2013-11-03","chhay.rithy.7e@school.edu","rithy03112013","Village 07 7E Tuek Thla Takeo"
"CMS100144","Nou Rithy","7F","female","2013-12-04","nou.rithy.7f@school.edu","rithy04122013","Village 08 7F Prek Eng Kampong Cham"
"CMS100145","Heng Rithy","7A","male","2013-01-05","heng.rithy.7a@school.edu","rithy05012013","Village 01 7A Chbar Ampov Siem Reap"
"CMS100146","Pen Rithy","7B","female","2013-02-06","pen.rithy.7b@school.edu","rithy06022013","Village 02 7B Sala Kamreuk Battambang"
"CMS100147","Sam Rithy","7C","male","2013-03-07","sam.rithy.7c@school.edu","rithy07032013","Village 03 7C Svay Dangkum Banteay Meanchey"
"CMS100148","Korng Rithy","7D","female","2013-04-08","korng.rithy.7d@school.edu","rithy08042013","Village 04 7D Preaek Pra Kampot"
"CMS100149","Ros Rithy","7E","male","2013-05-09","ros.rithy.7e@school.edu","rithy09052013","Village 05 7E Ta Khmau Phnom Penh"
"CMS100150","Chin Rithy","7F","female","2013-06-10","chin.rithy.7f@school.edu","rithy10062013","Village 06 7F Boeng Keng Kang Kandal"
"CMS100151","Mao Rithy","7A","male","2013-07-11","mao.rithy.7a@school.edu","rithy11072013","Village 07 7A Tuek Thla Takeo"
"CMS100152","Lay Rithy","7B","female","2013-08-12","lay.rithy.7b@school.edu","rithy12082013","Village 08 7B Prek Eng Kampong Cham"
"CMS100153","Vannak Rithy","7C","male","2013-09-13","vannak.rithy.7c@school.edu","rithy13092013","Village 01 7C Chbar Ampov Siem Reap"
"CMS100154","Sreypov Rithy","7D","female","2013-10-14","sreypov.rithy.7d@school.edu","rithy14102013","Village 02 7D Sala Kamreuk Battambang"
"CMS100155","Rith Rithy","7E","male","2013-11-15","rith.rithy.7e@school.edu","rithy15112013","Village 03 7E Svay Dangkum Banteay Meanchey"
"CMS100156","Borey Rithy","7F","female","2013-12-16","borey.rithy.7f@school.edu","rithy16122013","Village 04 7F Preaek Pra Kampot"
"CMS100157","Visal Rithy","7A","male","2013-01-17","visal.rithy.7a@school.edu","rithy17012013","Village 05 7A Ta Khmau Phnom Penh"
"CMS100158","Malis Rithy","7B","female","2013-02-18","malis.rithy.7b@school.edu","rithy18022013","Village 06 7B Boeng Keng Kang Kandal"
"CMS100159","Rattanak Rithy","7C","male","2013-03-19","rattanak.rithy.7c@school.edu","rithy19032013","Village 07 7C Tuek Thla Takeo"
"CMS100160","Sothea Rithy","7D","female","2013-04-20","sothea.rithy.7d@school.edu","rithy20042013","Village 08 7D Prek Eng Kampong Cham"
"CMS100161","Sok Sreynich","7E","male","2013-05-21","sok.sreynich.7e@school.edu","sreynich21052013","Village 01 7E Chbar Ampov Siem Reap"
"CMS100162","Chan Sreynich","7F","female","2013-06-22","chan.sreynich.7f@school.edu","sreynich22062013","Village 02 7F Sala Kamreuk Battambang"
"CMS100163","Lim Sreynich","7A","male","2013-07-23","lim.sreynich.7a@school.edu","sreynich23072013","Village 03 7A Svay Dangkum Banteay Meanchey"
"CMS100164","Keo Sreynich","7B","female","2013-08-24","keo.sreynich.7b@school.edu","sreynich24082013","Village 04 7B Preaek Pra Kampot"
"CMS100165","Phan Sreynich","7C","male","2013-09-25","phan.sreynich.7c@school.edu","sreynich25092013","Village 05 7C Ta Khmau Phnom Penh"
"CMS100166","Meas Sreynich","7D","female","2013-10-26","meas.sreynich.7d@school.edu","sreynich26102013","Village 06 7D Boeng Keng Kang Kandal"
"CMS100167","Ouk Sreynich","8E","male","2012-11-27","ouk.sreynich.8e@school.edu","sreynich27112012","Village 07 8E Tuek Thla Takeo"
"CMS100168","Chhim Sreynich","8F","female","2012-12-28","chhim.sreynich.8f@school.edu","sreynich28122012","Village 08 8F Prek Eng Kampong Cham"
"CMS100169","Yin Sreynich","8A","male","2012-01-01","yin.sreynich.8a@school.edu","sreynich01012012","Village 01 8A Chbar Ampov Siem Reap"
"CMS100170","Touch Sreynich","8B","female","2012-02-02","touch.sreynich.8b@school.edu","sreynich02022012","Village 02 8B Sala Kamreuk Battambang"
"CMS100171","Ngov Sreynich","8C","male","2012-03-03","ngov.sreynich.8c@school.edu","sreynich03032012","Village 03 8C Svay Dangkum Banteay Meanchey"
"CMS100172","Suon Sreynich","8D","female","2012-04-04","suon.sreynich.8d@school.edu","sreynich04042012","Village 04 8D Preaek Pra Kampot"
"CMS100173","Prak Sreynich","8E","male","2012-05-05","prak.sreynich.8e@school.edu","sreynich05052012","Village 05 8E Ta Khmau Phnom Penh"
"CMS100174","Kim Sreynich","8F","female","2012-06-06","kim.sreynich.8f@school.edu","sreynich06062012","Village 06 8F Boeng Keng Kang Kandal"
"CMS100175","Chhay Sreynich","8A","male","2012-07-07","chhay.sreynich.8a@school.edu","sreynich07072012","Village 07 8A Tuek Thla Takeo"
"CMS100176","Nou Sreynich","8B","female","2012-08-08","nou.sreynich.8b@school.edu","sreynich08082012","Village 08 8B Prek Eng Kampong Cham"
"CMS100177","Heng Sreynich","8C","male","2012-09-09","heng.sreynich.8c@school.edu","sreynich09092012","Village 01 8C Chbar Ampov Siem Reap"
"CMS100178","Pen Sreynich","8D","female","2012-10-10","pen.sreynich.8d@school.edu","sreynich10102012","Village 02 8D Sala Kamreuk Battambang"
"CMS100179","Sam Sreynich","8E","male","2012-11-11","sam.sreynich.8e@school.edu","sreynich11112012","Village 03 8E Svay Dangkum Banteay Meanchey"
"CMS100180","Korng Sreynich","8F","female","2012-12-12","korng.sreynich.8f@school.edu","sreynich12122012","Village 04 8F Preaek Pra Kampot"
"CMS100181","Ros Sreynich","8A","male","2012-01-13","ros.sreynich.8a@school.edu","sreynich13012012","Village 05 8A Ta Khmau Phnom Penh"
"CMS100182","Chin Sreynich","8B","female","2012-02-14","chin.sreynich.8b@school.edu","sreynich14022012","Village 06 8B Boeng Keng Kang Kandal"
"CMS100183","Mao Sreynich","8C","male","2012-03-15","mao.sreynich.8c@school.edu","sreynich15032012","Village 07 8C Tuek Thla Takeo"
"CMS100184","Lay Sreynich","8D","female","2012-04-16","lay.sreynich.8d@school.edu","sreynich16042012","Village 08 8D Prek Eng Kampong Cham"
"CMS100185","Vannak Sreynich","8E","male","2012-05-17","vannak.sreynich.8e@school.edu","sreynich17052012","Village 01 8E Chbar Ampov Siem Reap"
"CMS100186","Sreypov Sreynich","8F","female","2012-06-18","sreypov.sreynich.8f@school.edu","sreynich18062012","Village 02 8F Sala Kamreuk Battambang"
"CMS100187","Rith Sreynich","8A","male","2012-07-19","rith.sreynich.8a@school.edu","sreynich19072012","Village 03 8A Svay Dangkum Banteay Meanchey"
"CMS100188","Borey Sreynich","8B","female","2012-08-20","borey.sreynich.8b@school.edu","sreynich20082012","Village 04 8B Preaek Pra Kampot"
"CMS100189","Visal Sreynich","8C","male","2012-09-21","visal.sreynich.8c@school.edu","sreynich21092012","Village 05 8C Ta Khmau Phnom Penh"
"CMS100190","Malis Sreynich","8D","female","2012-10-22","malis.sreynich.8d@school.edu","sreynich22102012","Village 06 8D Boeng Keng Kang Kandal"
"CMS100191","Rattanak Sreynich","8E","male","2012-11-23","rattanak.sreynich.8e@school.edu","sreynich23112012","Village 07 8E Tuek Thla Takeo"
"CMS100192","Sothea Sreynich","8F","female","2012-12-24","sothea.sreynich.8f@school.edu","sreynich24122012","Village 08 8F Prek Eng Kampong Cham"
