"email","password_hash","role","full_name","gender","student_code"
"prak.dara.7a@school.edu","$2a$10$2P8PyNIwKA.Y1q0yVRV1jeVZakcHd4aC3uaJWUWVQfiG3USp3ssC2","student","Prak Dara","male","CMS100013"
"kim.dara.7b@school.edu","$2a$10$U013ZTTAMqABSFi4DcNLI.jSiMXEmGDcriw2Edschb.s/r9oykw2u","student","Kim Dara","female","CMS100014"
"chhay.dara.7c@school.edu","$2a$10$9R/FDIZc0L/d8/usZ.4Gtenq3CjXwbKkD3IRfWgAFjKKvnUgPYD8.","student","Chhay Dara","male","CMS100015"
"nou.dara.7d@school.edu","$2a$10$mWCksY19R9OERn3U0WRjUOF48v7p4MUktjZQUy95d0J2HyG7lQGia","student","Nou Dara","female","CMS100016"
"heng.dara.7e@school.edu","$2a$10$r.HdFndMW/SlDBnp6vpX1OSmzwaEOv/2IZo1fELgcn9xSmHCyNIQC","student","Heng Dara","male","CMS100017"
"pen.dara.7f@school.edu","$2a$10$3CmbfhfwqlUbS6IM.Q171eRvxqDk8R6oHNB6Im.9fR7IQvMVOtYXq","student","Pen Dara","female","CMS100018"
"sam.dara.7a@school.edu","$2a$10$Ts695JzDpPeLQmHx2H9UkunYN8GK1i5qBlOCyYuQT/CpH9sIp2cCC","student","Sam Dara","male","CMS100019"
"korng.dara.7b@school.edu","$2a$10$lWe4wae6Shfenmo6IrvcBOPPKu9voibpX0KBmzORaeNawP6o0yYFe","student","Korng Dara","female","CMS100020"
"ros.dara.7c@school.edu","$2a$10$sD.84jEU1olMCFvK2ykoqOKsmqI8u/LCNIQHtOeg9wofY0T1I3VzK","student","Ros Dara","male","CMS100021"
"chin.dara.7d@school.edu","$2a$10$0sVlhxII6wiRdLZFtHy1p.RtE1x.IOfQ65fDi0G8uJtfbsLv5qa6C","student","Chin Dara","female","CMS100022"
"mao.dara.7e@school.edu","$2a$10$09ypKvJCaGH7MHGebTjW/e3/5xSn0jJtlYMHHS2h.93gKhoUFF.GO","student","Mao Dara","male","CMS100023"
"lay.dara.7f@school.edu","$2a$10$Zteah3kSx/ecKXXfNMYSNed.QVTgDqsUSI87ToW6kogREBAAUBQ0m","student","Lay Dara","female","CMS100024"
"vannak.dara.7a@school.edu","$2a$10$v79pW4znTSropEBeernyU.r1rMg0.23a5j4Af0d5u2LPuPjevBslC","student","Vannak Dara","male","CMS100025"
"sreypov.dara.7b@school.edu","$2a$10$mUCIkNLoL08GA8psGUGqVeO6HqAPCRiFXpeuyBouHbCxEr9SQJauW","student","Sreypov Dara","female","CMS100026"
"rith.dara.7c@school.edu","$2a$10$zwP3X3tK1hbp5dinVm4WK.vUZP8RP7bZMDRrZveLvLmKGlUYLadzC","student","Rith Dara","male","CMS100027"
"borey.dara.7d@school.edu","$2a$10$YtLr45hnxrfowdqmzLF6kundFo.VZBC29VYgfgqjCqsQgHMsje/7y","student","Borey Dara","female","CMS100028"
"visal.dara.7e@school.edu","$2a$10$FzCaBpCdxYbBA23YNuI/j.iCAeRTcTm8V84L1e1iIlvaEqPWKey9C","student","Visal Dara","male","CMS100029"
"malis.dara.7f@school.edu","$2a$10$Xiua7.A0WYE6lDSfg.hRqOWO5L4QKq1evwR1wOucVGLPIoOpUdBiG","student","Malis Dara","female","CMS100030"
"rattanak.dara.7a@school.edu","$2a$10$yZEfZOb3hEAsrbkkQMWHsuMsnaNi.dCPA4VXUAtv1v4Tlqj6E0rp6","student","Rattanak Dara","male","CMS100031"
"sothea.dara.7b@school.edu","$2a$10$6bAkCgGEcB0Dlxj4uzpUiuI.jDC6nbvLn1j5YzbjcAwMGdglX3AMu","student","Sothea Dara","female","CMS100032"
"sok.monineath.7c@school.edu","$2a$10$wWBrqJZ8wxfjPyazzE/JnuaQzZtD774qjXFvGaNA1Pf8lGgRwsjUa","student","Sok Monineath","male","CMS100033"
"chan.monineath.7d@school.edu","$2a$10$ei6rDTO5qZHtAwCzJS2Xzu9DTOTX0sWklyNNyIrAgh/n/w7UYkveG","student","Chan Monineath","female","CMS100034"
"lim.monineath.7e@school.edu","$2a$10$dfgC43.fRmLz0GSXNbeB.e9E9ePVswygVYohW7OWfOK.X5G4rLkyi","student","Lim Monineath","male","CMS100035"
"keo.monineath.7f@school.edu","$2a$10$KjfQ.qEklNSfbBXd4D6QYecwWHT/V/THYjNH7Qp6XxM252LVtxtva","student","Keo Monineath","female","CMS100036"
"phan.monineath.7a@school.edu","$2a$10$mC5nbnCVlcUZRl7I2t1kcu29Bbw3FqvI2DbT/lLxyj5k/6uFplYEe","student","Phan Monineath","male","CMS100037"
"meas.monineath.7b@school.edu","$2a$10$r21cRZMc/ytevWq.0bc0COdPydA0fWPjJ95A6t8EYtg4KWkvU4aSu","student","Meas Monineath","female","CMS100038"
"ouk.monineath.7c@school.edu","$2a$10$S2eThVvP7mlHpMQP7/2knucmT51wHG30gm8wHFxuUv3yaP3sH0S4O","student","Ouk Monineath","male","CMS100039"
"chhim.monineath.7d@school.edu","$2a$10$wow9QQmKkA1S8WOT6fo4ienRgqyJ36dFYekVuH4dz1wF6xaA6Xy6y","student","Chhim Monineath","female","CMS100040"
"yin.monineath.7e@school.edu","$2a$10$KWMOEDZ2s/3JgY0e7USsT.9fJHjFZap2x2kMm03S5vErsBrRh0yVi","student","Yin Monineath","male","CMS100041"
"touch.monineath.7f@school.edu","$2a$10$i0Ed3puq3fY61RfB.a1uWuo1Z6i1oNNDZCVoxW1JBg9EIE0XLdVd6","student","Touch Monineath","female","CMS100042"
"ngov.monineath.7a@school.edu","$2a$10$cypiQBUtY3aGcY.1ev9./uY2MCcGzDo29sjVsdhHEx5OaniSrTueW","student","Ngov Monineath","male","CMS100043"
"suon.monineath.7b@school.edu","$2a$10$EFCT/9TsmI44KKo0mzC4ZengghC8NuCgGfJ415ah.LisXMOp7U09u","student","Suon Monineath","female","CMS100044"
"prak.monineath.7c@school.edu","$2a$10$DJCyrwSUe.m8ImScSQ/WX.vkjsSSA9NWlCfirOZwa2mo1ptQ3uoGi","student","Prak Monineath","male","CMS100045"
"kim.monineath.7d@school.edu","$2a$10$8jS06Q.WRUmesOxMAmc1FOiX0ZODI2uh1YmyOzPAnMN3mWIjvhu4K","student","Kim Monineath","female","CMS100046"
"chhay.monineath.7e@school.edu","$2a$10$al9bLUzbfXRElDeLqE9Hqu.FN/0WdX067quMdsPwxfvW8/B8QEdpi","student","Chhay Monineath","male","CMS100047"
"nou.monineath.7f@school.edu","$2a$10$KOcsIlLM3fKF2UWLf6iIVOyljDgES7PI1xFCI156drgDGvgbsBUiW","student","Nou Monineath","female","CMS100048"
"heng.monineath.7a@school.edu","$2a$10$3yJvfS/gSKRjcUL/5jobruWcHJlUqK00Zsc0hAEMtIF77/lOpQiKa","student","Heng Monineath","male","CMS100049"
"pen.monineath.7b@school.edu","$2a$10$lHYTo7KZPe8sZQJ4B7XfMuN00SE0cC67SVl9OPK25F3bD9/a9ynyS","student","Pen Monineath","female","CMS100050"
"sam.monineath.7c@school.edu","$2a$10$EvkglINJSxCdnq0r49lebeclKG1cQuSJ/qoeNkZHd73uHSOfQqs6O","student","Sam Monineath","male","CMS100051"
"korng.monineath.7d@school.edu","$2a$10$P5xUZccGtWD35MWW/9PrBe46HIeG.5aoIKmMZZeo5LZ/HazFkByfm","student","Korng Monineath","female","CMS100052"
"ros.monineath.7e@school.edu","$2a$10$9/ps4hdnhG3AtiSvUyw2LOqVOHtjojurw2cfXjCcKyVBcChtmxo8i","student","Ros Monineath","male","CMS100053"
"chin.monineath.7f@school.edu","$2a$10$19llPvPKEjco8Hyp5Q86PehgLI9WWkvsMfiI5YWkLmKjmL6jZBGd6","student","Chin Monineath","female","CMS100054"
"mao.monineath.7a@school.edu","$2a$10$AwnrlGOjhh4IN2U7Q9XA8.ToVssfTrGCI5c7vYj4iAoi/hAvOCbje","student","Mao Monineath","male","CMS100055"
"lay.monineath.7b@school.edu","$2a$10$qDMyPYeeDnmJLYRIs5ovoulpPrRM3R/q.Leszgl2gWJidV8BexMPK","student","Lay Monineath","female","CMS100056"
"vannak.monineath.7c@school.edu","$2a$10$gQQT3p93dDAS78KsDUunTu/6qklKXld9Q4FvM.6oayLZC.ZN6l3cq","student","Vannak Monineath","male","CMS100057"
"sreypov.monineath.7d@school.edu","$2a$10$ncGMxNRVIZ2VVHxMReMGLepEb3vaX/EZxltmnzEDDtwAooU5a3VMy","student","Sreypov Monineath","female","CMS100058"
"rith.monineath.7e@school.edu","$2a$10$jRvQuizf5/yYRlybFpSfLuK9XjFlqSxI8RarsTrT96wT/6Tbbfm.C","student","Rith Monineath","male","CMS100059"
"borey.monineath.7f@school.edu","$2a$10$clnVy2WnyzZk7Dl7KIQX2uPSJTpYnQAO0.pciHZVE.BbnvQpuBDHK","student","Borey Monineath","female","CMS100060"
"visal.monineath.7a@school.edu","$2a$10$Mo57wHjbpM.wwczvi1A8UOGGHe.WCvsWWKBAbiLSRvOKDFU2Au5MS","student","Visal Monineath","male","CMS100061"
"malis.monineath.7b@school.edu","$2a$10$0fIghdxeQGvbXCqbUgs5D.GKADB8DtlTn3LlVNGDxt/hDhqtvX7IO","student","Malis Monineath","female","CMS100062"
"rattanak.monineath.7c@school.edu","$2a$10$/xvbnqm..N1fZDPH2LgYu.ppK4DFinZdGe3ktbAqVLFtOVlzL93TS","student","Rattanak Monineath","male","CMS100063"
"sothea.monineath.7d@school.edu","$2a$10$faHtcvD4M.XX5twmGxtMyOMrN.E3xm1SipPaJ6nuTOFbxsosrNgbO","student","Sothea Monineath","female","CMS100064"
"sok.vannak.7e@school.edu","$2a$10$wW3GRFakOSDMSMrLiUzGRuT1mzRwUstoPdI06wYUTsY/zxclYQc/i","student","Sok Vannak","male","CMS100065"
"chan.vannak.7f@school.edu","$2a$10$.U7J4gIIQpqRkwjRHaDap.opG.ShT0j6.N7kHK/7KtdmC7EitO8ny","student","Chan Vannak","female","CMS100066"
"lim.vannak.7a@school.edu","$2a$10$UX8swVHdgY8Dil7C/uTrHetcDojkhjyJy1sm5Ut0BRiu0/PbLAKKC","student","Lim Vannak","male","CMS100067"
"keo.vannak.7b@school.edu","$2a$10$9efjxtGuo4iMnG2EfiT3.uzOhLNDghzMYQcn9FlNFDkavWSY4B1ae","student","Keo Vannak","female","CMS100068"
"phan.vannak.7c@school.edu","$2a$10$pmz9hCdszi.pbh7BQifxIeS3OuvP6ZzsCF26x93lkJtazKXE48A9u","student","Phan Vannak","male","CMS100069"
"meas.vannak.7d@school.edu","$2a$10$SGPh16FtNZWrL7/E0.6dxemC3lVXNvFcOwy4BjfiThsQkPRQP8zdK","student","Meas Vannak","female","CMS100070"
"ouk.vannak.7e@school.edu","$2a$10$ZxSSJWVzvxG0LYamYdULJuxcG/0zsB55YuD5t6Dc0qXBGtlAR52Ou","student","Ouk Vannak","male","CMS100071"
"chhim.vannak.7f@school.edu","$2a$10$/pizzyir1ui1SRA5.B6ZrOCxAV41LbPYJprHUjRbEs.fMuj1XxSnS","student","Chhim Vannak","female","CMS100072"
"yin.vannak.7a@school.edu","$2a$10$Mdth0Wn3utIZBIBjCCuMPOIimz8UAkH.0CAFRbH6veewZu9vCKMZW","student","Yin Vannak","male","CMS100073"
"touch.vannak.7b@school.edu","$2a$10$gXeQTXme0qByDVLYq7KY2u5XxcuYqZgBtpQ.7o3CLx6kNI/CBnDYu","student","Touch Vannak","female","CMS100074"
"ngov.vannak.7c@school.edu","$2a$10$mflxDvC6PgIYQ4pkPl41kuYI4lbtgWWUZmQkkOhvfjrplHsVtqM7i","student","Ngov Vannak","male","CMS100075"
"suon.vannak.7d@school.edu","$2a$10$zunB3jC3Hmk5EVPJHMxI4uiY3rJVkqkMTU75RYMA8c2AAhlX/4ozm","student","Suon Vannak","female","CMS100076"
"prak.vannak.7e@school.edu","$2a$10$VMSPlUJScEs0CEooEZKjBeUvaXWNecBZreIcT.f/O7DFOJd81CbJW","student","Prak Vannak","male","CMS100077"
"kim.vannak.7f@school.edu","$2a$10$ZluQyjZoou9yyNXv/99ss.6fRBsfRecZqrlPuoXdGtPHbpcmx/iB6","student","Kim Vannak","female","CMS100078"
"chhay.vannak.7a@school.edu","$2a$10$H4RNZnS2wjSbY7m1/JgPoeEV1.p2z/h1VvNdAgKXWKGT9cteGhWSC","student","Chhay Vannak","male","CMS100079"
"nou.vannak.7b@school.edu","$2a$10$mAN4d7bsTWITVQRzKKDMNeLw44dc1KCIxSE8aBwrku1K3iGQy09oK","student","Nou Vannak","female","CMS100080"
"heng.vannak.7c@school.edu","$2a$10$Xsz8R6CHkc70chXyzhkEKupuHeBiA2pxnaBR22..jkvC7UxUh502y","student","Heng Vannak","male","CMS100081"
"pen.vannak.7d@school.edu","$2a$10$kya3wLVtPgqMvnzxI/cUoeR40/N/0YEXocQPV/Yxh9NLxKSOFi1Ni","student","Pen Vannak","female","CMS100082"
"sam.vannak.7e@school.edu","$2a$10$M6wc.GVirfHp.YuwvMG.u.ATY0jA1eaxXZ9Hys.kLfKS/H3CmhCK6","student","Sam Vannak","male","CMS100083"
"korng.vannak.7f@school.edu","$2a$10$7goNnL7aOtPjJzw7uH4Gg.hMypxMrhJDAkyZps0/J3WTQIkukgQo.","student","Korng Vannak","female","CMS100084"
"ros.vannak.7a@school.edu","$2a$10$YhoEV4cMpIX1zaGSALiX7.QssL3Ai5PfJJMMIoaQGGeI2OwDQUL.q","student","Ros Vannak","male","CMS100085"
"chin.vannak.7b@school.edu","$2a$10$te53..4gvg2rLlaTRuPuuOX3iwR90iFwWso5ReOnpGUrNEy.tKtPq","student","Chin Vannak","female","CMS100086"
"mao.vannak.7c@school.edu","$2a$10$ge/rMeE5M/C/FNTuJMePiOswuKUNwrxcg3GW.OC9IK2STs3YXeaRK","student","Mao Vannak","male","CMS100087"
"lay.vannak.7d@school.edu","$2a$10$kLNHHlgAyF98QZ1rQpfng.29.7A0R6cvKTkzkZyL2aqpy4MLmD77q","student","Lay Vannak","female","CMS100088"
"vannak.vannak.7e@school.edu","$2a$10$JaEk6KTsZQpH6DLVU1XHP.ssd6RUQ4Fd1pcoZobNBK8I2Nk9abUgC","student","Vannak Vannak","male","CMS100089"
"sreypov.vannak.7f@school.edu","$2a$10$KSeqrfYggevzf1lwLdaEH.rRBGbUIijeWRYXK8RD3Vum3CvuxE9kq","student","Sreypov Vannak","female","CMS100090"
"rith.vannak.7a@school.edu","$2a$10$rIqrI4qKIuHQt2pqMM7XcOQk5Y9qADwXFS.6mUNi.J4boN3LXY9Oe","student","Rith Vannak","male","CMS100091"
"borey.vannak.7b@school.edu","$2a$10$pJghtP7Dz3bMUaN07B.LdO8PusmA/62ZogPZQwiknOPSCXQLH3kY6","student","Borey Vannak","female","CMS100092"
"visal.vannak.7c@school.edu","$2a$10$sv0CPyoCjkZDfNayzwmSPuHPDrw.F/0A1ea6LgX5jkBVeABzzOOsG","student","Visal Vannak","male","CMS100093"
"malis.vannak.7d@school.edu","$2a$10$2v3d2tECmnhrnUsaaksVAujWtxbUgDwZraKgwXO61G2W7FKSXtmbm","student","Malis Vannak","female","CMS100094"
"rattanak.vannak.7e@school.edu","$2a$10$sQf2CK6yT27Fn6CJ2ruq8.15i48GYMhVzz2Mo9xFw1FLodMI1pdjO","student","Rattanak Vannak","male","CMS100095"
"sothea.vannak.7f@school.edu","$2a$10$pDxcgL5eK7VuTCSVshKTyeTyXsrdaljvJp2OvnsFqThwzfIjbTXUq","student","Sothea Vannak","female","CMS100096"
"sok.sreypich.7a@school.edu","$2a$10$V1KK/DwaFjwQBc453yQm8eSRwOPTMImLfx8KaEs/XG8jwwHPG4WJe","student","Sok Sreypich","male","CMS100097"
"chan.sreypich.7b@school.edu","$2a$10$6UaDXrNoEGnPpNXsFGMoDOOsvlkJtR5rnOm.UCZHSMaaFf5WmWzDC","student","Chan Sreypich","female","CMS100098"
"lim.sreypich.7c@school.edu","$2a$10$UbC6j32Zl3OdbEf27W4vT..fiSrArGAIqRiRGRKl8jnPQ5tg1knkC","student","Lim Sreypich","male","CMS100099"
"keo.sreypich.7d@school.edu","$2a$10$eq2Cgi26hB28HBQmYpKzMe3HVKYk0IhF3sxksXhtFa6jdo2X3bvua","student","Keo Sreypich","female","CMS100100"
"phan.sreypich.7e@school.edu","$2a$10$l9Saa2s7jMiSpWjcWwu85.lgPJlkcUQCywfM7z/kuasd4vl13k5yu","student","Phan Sreypich","male","CMS100101"
"meas.sreypich.7f@school.edu","$2a$10$mmMY5Vkss46HROWpDR49e.JxIcfhxvvNwHDT8oiD6VAfbGOV2FWs6","student","Meas Sreypich","female","CMS100102"
"ouk.sreypich.7a@school.edu","$2a$10$0TgK4SlcmYq64urKNklHsuUvpD85jIosZ9XX4eucLH7v2uG8Ohnh.","student","Ouk Sreypich","male","CMS100103"
"chhim.sreypich.7b@school.edu","$2a$10$pSVCGN6NQRXNN1L/CY2gy.gSDNQYZP317KrGOe7IKtsK8uebHRLjK","student","Chhim Sreypich","female","CMS100104"
"yin.sreypich.7c@school.edu","$2a$10$2PF5mVWQUIzJnVLlD1KOvu.0Kc6BjcOKU2daXgR9SELG8.RZSGF8W","student","Yin Sreypich","male","CMS100105"
"touch.sreypich.7d@school.edu","$2a$10$QHv0qc7OHBRbYiv6x0acDuWhmB6BvnU4kvL17KDbJ.mTm2eirWbua","student","Touch Sreypich","female","CMS100106"
"ngov.sreypich.7e@school.edu","$2a$10$qMYhqHvKzE1xv9IJeEyz1OJapTtezNjNTknofvwm19lgxp0GFeXn6","student","Ngov Sreypich","male","CMS100107"
"suon.sreypich.7f@school.edu","$2a$10$RiDnzdpH/5P8pfMcE6/9tumdI6Y.xBtHVYGaPfb063yZQKFE/wYpm","student","Suon Sreypich","female","CMS100108"
"prak.sreypich.7a@school.edu","$2a$10$IRsWEugoOQxeKhOD9ipyv.qDXrgjPuctockkR65U9/wf/eik9fcmq","student","Prak Sreypich","male","CMS100109"
"kim.sreypich.7b@school.edu","$2a$10$iiGjnmdvbhcXpc6NbxR57OSNRNsbB0HuDnO5jmAg7Tj8XJHpn.Huy","student","Kim Sreypich","female","CMS100110"
"chhay.sreypich.7c@school.edu","$2a$10$ZBqq2F2K4njgpJWOnD2cnurwe.fNEV8JiOqJQ0lFsNchjJjDaVqR6","student","Chhay Sreypich","male","CMS100111"
"nou.sreypich.7d@school.edu","$2a$10$cMYjIu.oXcY7owQZRhk7CuMOYWmsdEm5hu5QRRzeYR37ab.RmAD5W","student","Nou Sreypich","female","CMS100112"
"heng.sreypich.7e@school.edu","$2a$10$bmD33c50LrDg7YCNRuOdQOV9.tCjpDm4JCR/VnRInQIvEo.nUgqjy","student","Heng Sreypich","male","CMS100113"
"pen.sreypich.7f@school.edu","$2a$10$6BM1HNhW8UXXc/LsSWg7D.6Boe.GFAdhoSdpXa.3j1D0UDDyaewpW","student","Pen Sreypich","female","CMS100114"
"sam.sreypich.7a@school.edu","$2a$10$aJumntJvAAXezGFtO0440OSCY7bK76VmQ6gw88HY1Cm1r5u2gbFka","student","Sam Sreypich","male","CMS100115"
"korng.sreypich.7b@school.edu","$2a$10$JAItBofjXOSbLeBCbpXMv.FUrY3AGpzhWyWoHQQwGISg6F/mnew0a","student","Korng Sreypich","female","CMS100116"
"ros.sreypich.7c@school.edu","$2a$10$W2jMGTaqSH2pLZo/KHtdm.GPr.lpmPAl9BjBtFm.O9Ysah8BnqiqO","student","Ros Sreypich","male","CMS100117"
"chin.sreypich.7d@school.edu","$2a$10$shcttyNDOcI8EOMsdrUf0OC7Gl6u3.pKjEEMrl24MFNJIPR8Nrz.O","student","Chin Sreypich","female","CMS100118"
"mao.sreypich.7e@school.edu","$2a$10$F2QTn0RKP3EC7IjJ984F1.x38296MZnZJv2j8NvR1aEhYk.7dkDTe","student","Mao Sreypich","male","CMS100119"
"lay.sreypich.7f@school.edu","$2a$10$Tp0YkIT2wbSm4SLkx.PbQOIU/wzaAPVUT1AiEvhhH1pGF8v8lqTI2","student","Lay Sreypich","female","CMS100120"
"vannak.sreypich.7a@school.edu","$2a$10$i3qmSdLseI8iFKWUxJaa6ODH9mYwSAhBY4svW7J8b.d9VaLCrRozy","student","Vannak Sreypich","male","CMS100121"
"sreypov.sreypich.7b@school.edu","$2a$10$zYBnhb17qLb7NG1OLSD3IuYzYQmiCOAEdL2LFNzqLp5SJ.dK7AaCy","student","Sreypov Sreypich","female","CMS100122"
"rith.sreypich.7c@school.edu","$2a$10$jjl8J8d6TB5vClY8G.cS5u9W5.tjGiDvsBaY78cK6IESO1HiKCNue","student","Rith Sreypich","male","CMS100123"
"borey.sreypich.7d@school.edu","$2a$10$QzvLwaNDHGeoCPHt0qpefONgBst7noCR9bu5RGCWzHgfiSHj830BK","student","Borey Sreypich","female","CMS100124"
"visal.sreypich.7e@school.edu","$2a$10$qwPn.J6dJDqsAQfoepCZcuRuOlJu76XrZLH3/1eX6jGZ8IoakNXVm","student","Visal Sreypich","male","CMS100125"
"malis.sreypich.7f@school.edu","$2a$10$ipi/Ue2trL.JnZ4FSETHUuF.zwR9ZZCR76QcfWxR7g1qfOIXVc7iW","student","Malis Sreypich","female","CMS100126"
"rattanak.sreypich.7a@school.edu","$2a$10$SH7nZVh.9IbDjoRvArLSYu8yJBYOpc2wxqfO.ydXQ3Vg8zPsPsrL6","student","Rattanak Sreypich","male","CMS100127"
"sothea.sreypich.7b@school.edu","$2a$10$cOQSR409JlpPvWdYA15kx.x.jllgfa6PhcLM1t7cCyVyVG7yBdbqy","student","Sothea Sreypich","female","CMS100128"
"sok.rithy.7c@school.edu","$2a$10$4aXZIs6.0WxF3lU5.iFLLOMNER7zsONOFej0TjHV6HKYoYN7imWkO","student","Sok Rithy","male","CMS100129"
"chan.rithy.7d@school.edu","$2a$10$JdH6w3JZiL3MpV1cU1rcgOiXcerjIQm/UX3WLZde8ZjwApPZ15Bpu","student","Chan Rithy","female","CMS100130"
"lim.rithy.7e@school.edu","$2a$10$plbONY11t//nSkzRL8zA8Oq0G3ar5Bcv/JNeRppTVlrCoJXMrGWyK","student","Lim Rithy","male","CMS100131"
"keo.rithy.7f@school.edu","$2a$10$zcM7AmRnqZuHGLP1sN2WiePkwQGmjCzBwBP.tDLOzPFcqyvUGlfRS","student","Keo Rithy","female","CMS100132"
"phan.rithy.7a@school.edu","$2a$10$U6BIYKva5LWflXAElvur5.jngnXqTHW26y0nW1XyC2FNj3soClsFS","student","Phan Rithy","male","CMS100133"
"meas.rithy.7b@school.edu","$2a$10$GopXfFrJQroepGSL9Rfls.gHEFBSFMb.EiTrXIV5dIe/U7jcI8jkO","student","Meas Rithy","female","CMS100134"
"ouk.rithy.7c@school.edu","$2a$10$KB8jn6UkyXedTOFE.7y2yOYxary5r/0h23QdzMEZQEPDPGJZoar22","student","Ouk Rithy","male","CMS100135"
"chhim.rithy.7d@school.edu","$2a$10$7pSatsAyaL8esezA5Mic4u44NLewYLQ2Kot4HGPXM0VdD73IL4GAy","student","Chhim Rithy","female","CMS100136"
"yin.rithy.7e@school.edu","$2a$10$kKTp8jRRaaZFOlXk1Uje8.SDP2ETOwzMlBcNSJUsBqJ.uJPE2Pyma","student","Yin Rithy","male","CMS100137"
"touch.rithy.7f@school.edu","$2a$10$pa8rEILengSKILbQlX2fVOgG4qUnAi6qyzeOf4LXVEA0gWLXG4ygO","student","Touch Rithy","female","CMS100138"
"ngov.rithy.7a@school.edu","$2a$10$cUpdFOHdQJm32Ep3iJloIOWSNhLgJR.PfGtG28awfe1CAEu9K43Ue","student","Ngov Rithy","male","CMS100139"
"suon.rithy.7b@school.edu","$2a$10$q.OXhPuR52Wa0XifUDqzo.hxOMZ2Vvlbg1RD5IrgB6JdR6V8T7jaW","student","Suon Rithy","female","CMS100140"
"prak.rithy.7c@school.edu","$2a$10$Tg.Jko/tMyU/TqfgLI8v4eKY0cWdE5hQPsIgJRU3/dEvm9q83SRx2","student","Prak Rithy","male","CMS100141"
"kim.rithy.7d@school.edu","$2a$10$4ilntjB6S8zb5hj9fcWuy.Nf89N6S8ULE0Zqzj9MgeH6Bn5oFxng6","student","Kim Rithy","female","CMS100142"
"chhay.rithy.7e@school.edu","$2a$10$1g5sGEIzSliVA7ujijINie2CVY0xgH9TLS/ePD0PwrgjMdVNCVKtq","student","Chhay Rithy","male","CMS100143"
"nou.rithy.7f@school.edu","$2a$10$SpVpqSUdOMLdbv6J6owkV.aaB16gVx0HaznpkU33XQtQ.FCBp8cgC","student","Nou Rithy","female","CMS100144"
"heng.rithy.7a@school.edu","$2a$10$xhKIqun5EbnBMMzuL8cYp./86c9fKLR1hyCklDF6f/twYDItRhvY2","student","Heng Rithy","male","CMS100145"
"pen.rithy.7b@school.edu","$2a$10$tWLXwY7MJVeaH32eQRJ2fe0qjfPb/i/GngWO/Gvo.N6rXLmE.EKaq","student","Pen Rithy","female","CMS100146"
"sam.rithy.7c@school.edu","$2a$10$Mn2d77v7Vd/cNwGkpB2y5uN.On9eiKwMCVPWURmhKwlsE5EbRtmjG","student","Sam Rithy","male","CMS100147"
"korng.rithy.7d@school.edu","$2a$10$cI9KesIzcB.DIRLkkCr40ODWxi06A8uwyxUCvuUD3l4AD55WJv4g6","student","Korng Rithy","female","CMS100148"
"ros.rithy.7e@school.edu","$2a$10$t9YzhFFIcJ7oxpuKVwr20eDm9lhEKo4S4F/NsFuHJbh5C9/BkqE5G","student","Ros Rithy","male","CMS100149"
"chin.rithy.7f@school.edu","$2a$10$5GtxRpEqM6/NiKwcz0xOGO/YRLVRbWNpcf5qCVb3C1SP/Q5eWsx/e","student","Chin Rithy","female","CMS100150"
